Sample.ID,Family.Unique,Block.ID,HabitatType,Region,Population,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,seedmass.2018.g.,Surv2017,Surv2018,sm.3,sm2017,sm2018,Germ.to.TrueLeaf,No.Days.to.Germ,No.Days.to.TrueLeaf,No.Days.Germ.to.Flr,no.Planting.to.DTFF,Planting.to.DTFF.2017,Germ.to.DTFF.2017,Planting.to.DTB.2017,Germ.to.DTB.2017,Planting.to.DatetoFrt.2017,Germ.to.DatetoFrt.2017,Planting.to.DTFF.2018,Germ.to.DTFF.2018,Planting.to.DTB.2018,Germ.to.DTB.2018,Planting.to.DatetoFrt.2018,Germ.to.Date.to.Frt.2018
AB-HSC.11.1,AB-HSC.11,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.10,AB-HSC.11,1,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.11,AB-HSC.11,11,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.12,AB-HSC.11,12,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.2,AB-HSC.11,2,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.3,AB-HSC.11,3,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.4,AB-HSC.11,4,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.5,AB-HSC.11,5,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.6,AB-HSC.11,6,Prairie,Prairie,AB-HSC,1070.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB-HSC.11.7,AB-HSC.11,7,Prairie,Prairie,AB-HSC,1070.778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
