Population,response,SE,df,asymp.LCL,asymp.UCL
CAR-NBA,7.38135593220365,1.67434336401112,Inf,4.73210743716916,11.51377396251
CAR-PSR,5.10000000000018,1.15288398111949,Inf,3.2745470146646,7.94308338940307
MAN-FOX,3.22500000000017,0.735774855387455,Inf,2.06219834754325,5.04346490840303
MAN-KIP,1.7083333333334,0.398247762497676,Inf,1.08178253402859,2.69777213624422
MAN-LCI,1.36752136752145,0.326449933646686,Inf,0.856521474214555,2.18338330903223
MAN-MIS,1.88983050847471,0.442357275926976,Inf,1.19448311946838,2.98996217908152
MI-DRI,5.59166666666682,1.26224982956875,Inf,3.59246890117443,8.70341176812727
NAP-ASS,1.59166666666673,0.372268978031387,Inf,1.00639337261462,2.5173086853664
NAP-CE,1.5294117647059,0.359907280603866,Inf,0.964309137799556,2.42567476997925
NAP-SCH,1.65000000000005,0.385258887415537,Inf,1.04408701842425,2.60754127956593
WNY-CB,3.90833333333346,0.887797345053839,Inf,2.50401504990156,6.10023068553281
