Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Population,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm
AB-HSC_11,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,7,Prairie,1070.778,16,Prairie,AB-HSC,1,0,0,0,0,0,0
AB-HSC_11,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_11,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_13,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_14,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_16,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_17,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,5,Prairie,1070.778,16,Prairie,AB-HSC,1,1,0,0,0,0,0
AB-HSC_3,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_3,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_4,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_5,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,11,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,3,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,5,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_7,9,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,1,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,10,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,11,Prairie,1070.778,20,Prairie,AB-HSC,1,1,0,0,0,0,0
AB-HSC_8,12,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,2,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,3,Prairie,1070.778,24,Prairie,AB-HSC,1,1,0,0,0,0,0
AB-HSC_8,4,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,5,Prairie,1070.778,18,Prairie,AB-HSC,1,1,0,0,0,0,0
AB-HSC_8,6,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,7,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,8,Prairie,1070.778,NA,Prairie,AB-HSC,0,0,0,0,0,0,0
AB-HSC_8,9,Prairie,1070.778,22,Prairie,AB-HSC,1,1,0,0,0,0,0
AB-LL_10,1,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,10,Prairie,1348.389,8,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,11,Prairie,1348.389,11,Prairie,AB-LL,1,1,1,1,0,0,0
AB-LL_10,12,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,2,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,3,Prairie,1348.389,10,Prairie,AB-LL,1,1,1,1,0,0,0
AB-LL_10,4,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,5,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_10,6,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,7,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,8,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_10,9,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,1,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,10,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,11,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,12,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,2,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,3,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_12,4,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,5,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_12,6,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,7,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,8,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_12,9,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,1,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,10,Prairie,1348.389,11,Prairie,AB-LL,1,0,0,0,0,0,0
AB-LL_13,11,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,12,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,2,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,3,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,4,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,5,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,6,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,7,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_13,8,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_13,9,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,1,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_22,10,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,11,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,12,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,2,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,3,Prairie,1348.389,9,Prairie,AB-LL,1,1,1,1,0,0,0
AB-LL_22,4,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,5,Prairie,1348.389,8,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,6,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,7,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,8,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_22,9,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,1,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,10,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,11,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,12,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,2,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,3,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,4,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,5,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,6,Prairie,1348.389,17,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,7,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,8,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_26,9,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,1,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,10,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,11,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,12,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,2,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_29,3,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,4,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_29,5,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_29,6,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,7,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,8,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_29,9,Prairie,1348.389,8,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,1,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,10,Prairie,1348.389,19,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,11,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,12,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,2,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,3,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,4,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,5,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,6,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,7,Prairie,1348.389,8,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,8,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_34,9,Prairie,1348.389,8,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,1,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,10,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_40,11,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,12,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
