Population,Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm,PC1,PC2,flw.no2016
AB-HSC,AB-HSC_11,7,Prairie,1070.778,16,Prairie,1,0,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,5,Prairie,1070.778,18,Prairie,1,1,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_3,5,Prairie,1070.778,16,Prairie,1,1,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,11,Prairie,1070.778,20,Prairie,1,1,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,3,Prairie,1070.778,24,Prairie,1,1,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,9,Prairie,1070.778,22,Prairie,1,1,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-LL,AB-LL_10,6,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,1,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,10,Prairie,1348.389,8,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,11,Prairie,1348.389,11,Prairie,1,1,1,1,0,0,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_10,12,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,2,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,3,Prairie,1348.389,10,Prairie,1,1,1,1,0,0,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_10,4,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,10,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,11,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,12,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,2,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,3,Prairie,1348.389,9,Prairie,1,1,1,1,0,0,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_22,4,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,5,Prairie,1348.389,8,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,6,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,7,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,8,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_22,9,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,1,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,10,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,11,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,12,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,2,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,7,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,8,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,9,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,1,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,10,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,11,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,12,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,2,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,4,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,6,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,7,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,8,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,9,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,1,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,10,Prairie,1348.389,11,Prairie,1,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,11,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,12,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,2,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,3,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,4,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,5,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,6,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,8,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_13,9,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,6,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,7,Prairie,1348.389,8,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,8,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_34,9,Prairie,1348.389,8,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,1,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,11,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,12,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,2,Prairie,1348.389,9,Prairie,1,1,1,5,0,0,0,-3.828798263,0.090659321,5
AB-LL,AB-LL_40,3,Prairie,1348.389,8,Prairie,1,1,1,1,0,0,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_40,4,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,5,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,6,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_40,8,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,1,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,10,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_5,11,Prairie,1348.389,15,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,3,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,4,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,5,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,6,Prairie,1348.389,17,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,7,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,8,Prairie,1348.389,12,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_26,9,Prairie,1348.389,11,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,1,Prairie,1348.389,10,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_29,10,Prairie,1348.389,9,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
