Population,Family.Unique,Block.ID,HabitatType,Region,No.Days.to.Germ,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Surv2017,sm2017,PC1,PC2,flw.no2017
AB-HSC,AB-HSC_11,7,Prairie,Prairie,16,1070.778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_3,5,Prairie,Prairie,16,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,11,Prairie,Prairie,20,1070.778,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-4.514998985,-2.191412153,1
AB-HSC,AB-HSC_8,3,Prairie,Prairie,24,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,5,Prairie,Prairie,18,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,9,Prairie,Prairie,22,1070.778,1,1,1,0,1,0,3,0,1,0,3,0,34,1,34,-4.514998985,-2.191412153,3
AB-LL,AB-LL_5,11,Prairie,Prairie,15,1348.389,1,1,1,0,1,0,2,0,1,0,2,0,126,1,126,-3.828798263,0.090659321,2
AB-LL,AB-LL_10,1,Prairie,Prairie,9,1348.389,1,1,1,0,1,0,15,0,1,0,9,0,760,1,760,-3.828798263,0.090659321,15
AB-LL,AB-LL_10,10,Prairie,Prairie,8,1348.389,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_10,11,Prairie,Prairie,11,1348.389,1,1,1,1,1,1,8,0,1,0,2,0,199,1,199,-3.828798263,0.090659321,8
AB-LL,AB-LL_10,12,Prairie,Prairie,11,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,2,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,8,0,1,0,3,0,163,1,163,-3.828798263,0.090659321,8
AB-LL,AB-LL_10,3,Prairie,Prairie,10,1348.389,1,1,1,1,1,1,7,0,1,0,4,0,369,1,369,-3.828798263,0.090659321,7
AB-LL,AB-LL_10,4,Prairie,Prairie,13,1348.389,1,1,1,0,1,0,5,0,1,0,1,0,16,1,16,-3.828798263,0.090659321,5
