Population,Family.Unique,Block.ID,HabitatType,Region,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Surv2017,Surv2018,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,sm.3,Flowering.Y.N.2018,Total.Flowers.2018,Fruit.Y.N.2018,No.Fruit.2018,sm.tot,No.Days.to.Germ,Dist.from.cg.km.1,PC1,PC2,flw.no2018
AB-HSC,AB-HSC_11,7,Prairie,Prairie,1070.778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1070.778,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_3,5,Prairie,Prairie,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1070.778,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,11,Prairie,Prairie,1070.778,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1070.778,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,3,Prairie,Prairie,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1070.778,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,5,Prairie,Prairie,1070.778,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1070.778,-4.514998985,-2.191412153,0
AB-HSC,AB-HSC_8,9,Prairie,Prairie,1070.778,1,1,1,1,0,1,0,3,0,1,0,3,0,34,4,1,1,1,1,38,22,1070.778,-4.514998985,-2.191412153,1
AB-LL,AB-LL_5,11,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,2,0,1,0,2,0,126,101,1,4,1,1,227,15,1348.389,-3.828798263,0.090659321,4
AB-LL,AB-LL_10,1,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,15,0,1,0,9,0,760,985,1,5,1,4,1745,9,1348.389,-3.828798263,0.090659321,5
AB-LL,AB-LL_10,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,11,Prairie,Prairie,1348.389,1,1,1,1,1,1,1,8,0,1,0,2,0,199,0,1,0,0,0,199,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,12,Prairie,Prairie,1348.389,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,2,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,8,0,1,0,3,0,163,0,0,0,0,0,163,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,3,Prairie,Prairie,1348.389,1,1,1,0,1,1,1,7,0,1,0,4,0,369,0,0,0,0,0,369,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,4,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,5,0,1,0,1,0,16,0,0,0,0,0,16,13,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,6,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,7,0,1,0,4,0,184,0,0,0,0,0,184,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,7,Prairie,Prairie,1348.389,1,1,1,1,0,1,0,14,0,1,0,13,0,1779,84,1,1,1,1,1863,11,1348.389,-3.828798263,0.090659321,1
AB-LL,AB-LL_10,8,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,4,0,1,0,1,0,39,0,0,0,0,0,39,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_10,9,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,3,0,1,0,1,0,63,0,0,0,0,0,63,9,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,1,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,5,0,1,0,3,0,164,0,0,0,0,0,164,11,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,10,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,6,0,1,0,3,0,129,0,0,0,0,0,129,10,1348.389,-3.828798263,0.090659321,0
AB-LL,AB-LL_12,11,Prairie,Prairie,1348.389,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1348.389,-3.828798263,0.090659321,0
