Population,PC1,PC2
AB-HSC,-4.514998985,-2.191412153
AB-LL,-3.828798263,0.090659321
AB-RL,-4.760143367,-3.262818686
AB-RO,-4.383976233,-3.064623951
CAR-NBA,2.575403033,1.481069919
CAR-PSR,2.668827574,1.222972369
MAN-FOX,1.878990344,2.121061422
MAN-KIP,1.899202381,2.000344802
MAN-LCI,1.264880673,2.706327478
MAN-MIS,1.992726249,1.986901033
MB-CRN,-5.572261091,4.769696497
MB-MR,-5.59221421,4.315303626
MN-PMG,-1.269165137,-0.254333337
NAP-ASS,3.817106774,-0.11170334
NAP-CE,3.619135193,0.318110509
NAP-SCH,3.589501255,0.376837829
ND-BSP,-0.307089034,-1.051846079
SD-MUD,1.408114991,-2.040395091
SD-PMG,1.03682048,-3.234864757
WA-BLK,1.008963181,-6.050192292
WNY-CB,3.468974193,-0.127095118
